Timestamp,Message
2024-06-17 19:04:26.514,"A:3.14,3.41,9.34;G:0.01,-0.22,0.04"
2024-06-17 19:04:26.664,"A:3.14,3.37,9.30;G:0.23,0.01,0.04"
2024-06-17 19:04:26.737,"A:3.06,3.37,9.30;G:0.01,0.01,0.05"
2024-06-17 19:04:26.888,"A:3.10,3.41,9.34;G:0.23,0.48,0.04"
2024-06-17 19:04:27.039,"A:3.10,3.41,9.34;G:0.01,-0.00,0.05"
2024-06-17 19:04:27.114,"A:3.18,3.37,9.26;G:0.01,0.01,0.05"
2024-06-17 19:04:27.262,"A:3.10,3.33,9.30;G:-0.21,-0.22,0.05"
2024-06-17 19:04:27.412,"A:3.10,3.33,9.30;G:-0.21,-0.23,0.05"
2024-06-17 19:04:27.565,"A:3.10,3.37,9.30;G:0.22,0.01,0.04"
2024-06-17 19:04:27.637,"A:3.14,3.37,9.26;G:0.02,0.01,0.04"
2024-06-17 19:04:27.787,"A:3.10,3.37,9.30;G:0.01,0.24,0.05"
2024-06-17 19:04:27.937,"A:3.10,3.37,9.30;G:-0.21,0.01,0.05"
2024-06-17 19:04:28.013,"A:3.14,3.45,9.26;G:0.23,0.01,0.05"
2024-06-17 19:04:28.164,"A:3.14,3.41,9.30;G:-0.21,-0.23,0.05"
2024-06-17 19:04:28.313,"A:3.10,3.41,9.30;G:0.22,0.01,0.05"
2024-06-17 19:04:28.462,"A:3.14,3.33,9.30;G:0.00,0.48,0.05"
2024-06-17 19:04:29.061,"T:24.93,24.79"
2024-06-17 19:04:29.212,"A:3.14,3.37,9.34;G:0.23,0.02,0.05"
2024-06-17 19:04:29.364,"A:3.14,3.37,9.26;G:-0.43,-0.24,0.05"
2024-06-17 19:04:29.438,"A:3.10,3.37,9.26;G:0.01,0.00,0.05"
2024-06-17 19:04:29.587,"A:3.10,3.37,9.30;G:0.01,-0.23,0.05"
2024-06-17 19:04:29.737,"A:3.10,3.37,9.30;G:0.03,0.01,0.05"
2024-06-17 19:04:29.887,"A:3.06,3.41,9.30;G:0.22,0.01,0.04"
2024-06-17 19:04:29.963,"A:3.14,3.37,9.34;G:0.01,0.28,0.05"
2024-06-17 19:04:30.113,"A:3.14,3.33,9.26;G:0.01,0.02,0.05"
2024-06-17 19:04:30.263,"A:3.14,3.33,9.26;G:-0.43,-0.23,0.02"
2024-06-17 19:04:30.413,"A:3.10,3.37,9.30;G:0.01,0.01,0.04"
2024-06-17 19:04:30.487,"A:3.10,3.37,9.26;G:0.23,-0.22,0.04"
2024-06-17 19:04:30.637,"A:3.10,3.37,9.34;G:0.01,0.01,0.05"
2024-06-17 19:04:30.787,"A:3.14,3.41,9.30;G:0.22,0.24,0.05"
2024-06-17 19:04:30.863,"A:3.10,3.41,9.30;G:0.01,0.24,0.05"
2024-06-17 19:04:31.014,"A:3.14,3.37,9.38;G:0.01,0.01,0.05"
2024-06-17 19:04:31.162,"A:3.14,3.37,9.38;G:-0.43,-0.23,0.05"
2024-06-17 19:04:31.314,"A:3.14,3.33,9.30;G:0.01,0.00,0.05"
2024-06-17 19:04:31.387,"A:3.14,3.41,9.34;G:0.01,0.01,0.05"
