Date,Time,Address,accel.X,accel.Y,accel.Z,gyro.X,gyro.Y,gyro.Z,temp.O,temp.A
2024-06-19,14:56:45.735,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:45.883,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.1,9.38,0.06,0.16,-0.02,,
2024-06-19,14:56:46.035,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.1,9.38,0.07,0.15,-0.03,,
2024-06-19,14:56:46.184,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.07,0.15,-0.03,,
2024-06-19,14:56:46.258,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.22,9.38,0.06,0.16,-0.02,,
2024-06-19,14:56:46.410,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.22,9.38,0.06,0.16,-0.03,,
2024-06-19,14:56:46.559,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.34,0.06,0.15,-0.01,,
2024-06-19,14:56:46.634,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.34,0.06,0.15,-0.02,,
2024-06-19,14:56:46.784,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.34,0.06,0.15,-0.02,,
2024-06-19,14:56:46.933,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.34,0.06,0.15,-0.01,,
2024-06-19,14:56:47.085,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:47.159,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.06,0.16,-0.02,,
2024-06-19,14:56:47.385,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.1,9.38,0.06,0.51,-0.01,,
2024-06-19,14:56:47.459,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.1,9.38,0.06,-0.56,-0.02,,
2024-06-19,14:56:47.609,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.1,9.38,0.06,0.52,-0.02,,
2024-06-19,14:56:47.684,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.06,0.15,-0.01,,
2024-06-19,14:56:47.833,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.14,-0.02,,
2024-06-19,14:56:47.983,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.34,0.05,0.14,-0.02,,
2024-06-19,14:56:48.058,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.41,0.06,0.16,-0.03,,
2024-06-19,14:56:48.209,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:48.360,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:48.509,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:48.584,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.1,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:48.734,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.41,-0.1,-0.23,-0.01,,
2024-06-19,14:56:48.884,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.21,0.53,-0.01,,
2024-06-19,14:56:48.958,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.45,0.06,0.16,-0.01,,
2024-06-19,14:56:49.108,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.22,9.41,0.07,0.19,-0.01,,
2024-06-19,14:56:49.259,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.22,9.41,0.06,0.16,-0.02,,
2024-06-19,14:56:49.408,27709F9E-AA39-8E08-68DF-757260651D6E,0.24,1.14,9.34,0.06,0.14,-0.02,,
2024-06-19,14:56:49.483,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:49.634,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.34,0.06,0.16,-0.02,,
2024-06-19,14:56:49.784,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.34,0.06,0.15,-0.03,,
2024-06-19,14:56:49.934,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.1,9.41,0.06,0.16,-0.02,,
2024-06-19,14:56:50.008,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.06,0.16,-0.01,,
2024-06-19,14:56:50.159,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.41,0.06,0.15,-0.02,,
2024-06-19,14:56:50.309,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.15,-0.03,,
2024-06-19,14:56:50.459,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.07,0.14,-0.01,,
2024-06-19,14:56:50.533,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.38,0.22,0.61,-0.03,,
2024-06-19,14:56:50.684,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.38,-0.28,-0.27,-0.01,,
2024-06-19,14:56:50.834,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.06,0.16,-0.01,,
2024-06-19,14:56:50.909,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.34,0.24,0.15,-0.02,,
2024-06-19,14:56:51.059,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.41,-0.11,-0.28,-0.01,,
2024-06-19,14:56:51.208,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.34,0.41,1.01,-0.01,,
2024-06-19,14:56:51.283,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.1,9.38,-0.11,-0.28,-0.02,,
2024-06-19,14:56:51.435,27709F9E-AA39-8E08-68DF-757260651D6E,0.04,1.1,9.45,-0.12,-0.28,-0.02,,
2024-06-19,14:56:51.584,27709F9E-AA39-8E08-68DF-757260651D6E,0.04,1.1,9.45,0.24,0.15,-0.02,,
2024-06-19,14:56:51.734,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.14,9.38,0.06,0.59,-0.02,,
2024-06-19,14:56:51.809,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:51.959,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:52.109,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:52.259,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.41,0.06,0.15,-0.01,,
2024-06-19,14:56:52.334,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.34,0.06,0.15,-0.02,,
2024-06-19,14:56:52.484,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:52.710,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.41,0.06,0.15,-0.01,,
2024-06-19,14:56:52.710,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.41,0.06,0.15,-0.02,,
2024-06-19,14:56:52.859,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:53.009,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:53.159,27709F9E-AA39-8E08-68DF-757260651D6E,0.24,1.18,9.41,0.06,0.61,-0.02,,
2024-06-19,14:56:53.233,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.22,9.38,0.05,-0.31,-0.02,,
2024-06-19,14:56:53.385,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.1,9.38,0.06,0.3,-0.02,,
2024-06-19,14:56:53.534,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.25,0.64,-0.02,,
2024-06-19,14:56:53.683,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,-0.13,-0.32,-0.02,,
2024-06-19,14:56:53.758,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.34,0.06,0.16,-0.02,,
2024-06-19,14:56:53.909,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.34,0.06,0.16,-0.03,,
2024-06-19,14:56:54.059,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:54.134,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:54.284,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:54.434,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.18,9.38,0.06,0.15,-0.01,,
2024-06-19,14:56:54.584,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.1,9.45,0.06,0.15,-0.01,,
2024-06-19,14:56:54.659,27709F9E-AA39-8E08-68DF-757260651D6E,0.24,1.18,9.38,0.06,0.16,-0.03,,
2024-06-19,14:56:54.809,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.41,0.06,0.16,-0.01,,
2024-06-19,14:56:54.959,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.34,0.06,0.14,-0.02,,
2024-06-19,14:56:55.034,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.41,0.06,0.15,-0.02,,
2024-06-19,14:56:55.184,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.1,9.41,0.06,0.15,-0.01,,
2024-06-19,14:56:55.334,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.1,9.41,0.06,0.15,-0.02,,
2024-06-19,14:56:55.484,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.22,9.34,0.06,0.67,-0.02,,
2024-06-19,14:56:55.559,27709F9E-AA39-8E08-68DF-757260651D6E,0.24,1.14,9.34,0.06,-0.36,-0.02,,
2024-06-19,14:56:55.709,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.34,0.06,0.68,-0.02,,
2024-06-19,14:56:55.859,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.34,0.06,-0.35,-0.02,,
2024-06-19,14:56:56.009,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.3,0.06,0.17,-0.01,,
2024-06-19,14:56:56.086,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.1,9.34,0.06,0.15,-0.03,,
2024-06-19,14:56:56.235,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.06,0.16,-0.01,,
2024-06-19,14:56:56.384,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.34,0.06,0.16,-0.02,,
2024-06-19,14:56:56.459,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.18,9.38,0.06,0.15,-0.01,,
2024-06-19,14:56:56.610,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.41,0.06,0.15,-0.02,,
2024-06-19,14:56:56.759,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.41,0.06,0.15,-0.02,,
2024-06-19,14:56:56.909,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.15,-0.01,,
2024-06-19,14:56:56.984,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.22,9.38,0.06,0.16,-0.01,,
2024-06-19,14:56:57.134,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.22,9.34,0.28,0.71,-0.03,,
2024-06-19,14:56:57.284,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,-0.16,-0.41,-0.02,,
2024-06-19,14:56:57.359,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.34,0.06,0.15,-0.01,,
2024-06-19,14:56:57.509,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.41,0.07,-0.41,-0.03,,
2024-06-19,14:56:57.659,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.41,0.06,1.28,-0.02,,
