Timestamp,Message
2024-06-17 19:04:26.430,"A:0.35,1.29,9.38;G:1.60,0.13,-0.01"
2024-06-17 19:04:26.505,"A:0.35,1.29,9.41;G:0.08,0.15,-0.01"
2024-06-17 19:04:26.655,"A:0.35,1.26,9.45;G:1.60,4.19,-0.01"
2024-06-17 19:04:26.805,"A:0.35,1.26,9.45;G:-3.02,2.06,-0.01"
2024-06-17 19:04:26.955,"A:0.35,1.29,9.41;G:3.14,4.19,-0.01"
2024-06-17 19:04:27.030,"A:0.31,1.26,9.41;G:-1.49,0.15,-0.02"
2024-06-17 19:04:27.180,"A:0.31,1.29,9.41;G:0.05,0.15,-0.02"
2024-06-17 19:04:27.330,"A:0.31,1.29,9.41;G:0.06,0.15,-0.02"
2024-06-17 19:04:27.481,"A:0.35,1.29,9.41;G:0.06,0.15,-0.02"
2024-06-17 19:04:27.555,"A:0.27,1.33,9.45;G:0.06,0.14,-0.01"
2024-06-17 19:04:27.706,"A:0.35,1.29,9.45;G:0.06,0.14,-0.02"
2024-06-17 19:04:27.855,"A:0.31,1.29,9.38;G:0.06,0.14,-0.02"
2024-06-17 19:04:27.930,"A:0.35,1.33,9.38;G:0.05,0.15,-0.02"
2024-06-17 19:04:28.080,"A:0.35,1.29,9.38;G:0.06,0.15,-0.02"
2024-06-17 19:04:28.230,"A:0.35,1.29,9.38;G:0.06,0.14,-0.01"
2024-06-17 19:04:28.380,"A:0.31,1.29,9.41;G:1.61,0.14,-0.02"
2024-06-17 19:04:28.455,"A:0.35,1.29,9.41;G:-1.49,0.14,-0.01"
2024-06-17 19:04:29.129,"T:25.73,25.11"
2024-06-17 19:04:29.280,"A:0.35,1.29,9.38;G:0.05,0.14,-0.01"
2024-06-17 19:04:29.355,"A:0.27,1.33,9.41;G:0.05,0.15,-0.01"
2024-06-17 19:04:29.505,"A:0.35,1.26,9.38;G:0.06,0.15,-0.02"
2024-06-17 19:04:29.655,"A:0.35,1.26,9.38;G:0.06,0.14,-0.01"
2024-06-17 19:04:29.805,"A:0.31,1.29,9.41;G:0.06,0.14,-0.01"
2024-06-17 19:04:29.880,"A:0.31,1.29,9.41;G:0.06,0.14,-0.02"
2024-06-17 19:04:30.031,"A:0.31,1.29,9.41;G:0.05,0.15,-0.01"
2024-06-17 19:04:30.180,"A:0.31,1.29,9.34;G:1.63,-1.71,-0.02"
2024-06-17 19:04:30.255,"A:0.31,1.29,9.41;G:0.06,0.15,-0.02"
2024-06-17 19:04:30.405,"A:0.31,1.26,9.38;G:-1.50,0.14,-0.01"
2024-06-17 19:04:30.555,"A:0.31,1.26,9.38;G:3.19,0.14,-0.01"
2024-06-17 19:04:30.705,"A:0.31,1.29,9.45;G:0.06,0.13,-0.01"
2024-06-17 19:04:30.780,"A:0.35,1.29,9.41;G:-1.51,0.14,-0.02"
2024-06-17 19:04:30.930,"A:0.31,1.29,9.41;G:0.05,0.15,-0.02"
2024-06-17 19:04:31.082,"A:0.31,1.29,9.41;G:0.05,0.15,-0.02"
2024-06-17 19:04:31.229,"A:0.27,1.33,9.45;G:0.06,0.15,-0.02"
2024-06-17 19:04:31.305,"A:0.35,1.29,9.38;G:0.06,0.14,-0.01"
2024-06-17 19:04:31.455,"A:0.31,1.29,9.41;G:0.06,0.14,-0.02"
2024-06-17 19:04:31.605,"A:0.31,1.26,9.45;G:0.06,0.14,-0.01"
2024-06-17 19:04:31.680,"A:0.31,1.29,9.41;G:0.05,0.15,-0.02"
2024-06-17 19:04:31.830,"A:0.35,1.26,9.34;G:0.04,0.15,-0.02"
2024-06-17 19:04:31.980,"A:0.35,1.26,9.34;G:0.05,0.15,-0.01"
2024-06-17 19:04:32.130,"A:0.39,1.26,9.45;G:1.62,4.29,-0.02"
2024-06-17 19:04:32.205,"A:0.31,1.29,9.38;G:-1.52,-4.00,-0.02"
2024-06-17 19:04:32.354,"A:0.39,1.29,9.45;G:0.05,0.15,-0.01"
2024-06-17 19:04:32.505,"A:0.31,1.29,9.41;G:0.06,0.14,-0.02"
2024-06-17 19:04:32.579,"A:0.35,1.29,9.41;G:0.05,0.15,-0.01"
2024-06-17 19:04:32.731,"A:0.35,1.26,9.41;G:0.06,0.15,-0.01"
2024-06-17 19:04:32.879,"A:0.35,1.26,9.41;G:0.06,0.15,-0.02"
2024-06-17 19:04:33.030,"A:0.31,1.29,9.45;G:0.06,0.14,-0.01"
2024-06-17 19:04:33.105,"A:0.39,1.26,9.38;G:0.05,0.15,-0.02"
2024-06-17 19:04:33.255,"A:0.31,1.26,9.41;G:0.05,0.15,-0.02"
2024-06-17 19:04:33.405,"A:0.31,1.26,9.41;G:0.06,0.15,-0.01"
2024-06-17 19:04:33.555,"A:0.31,1.26,9.45;G:0.05,0.15,-0.02"
2024-06-17 19:04:33.630,"A:0.31,1.33,9.38;G:0.06,0.14,-0.01"
2024-06-17 19:04:33.781,"A:0.35,1.29,9.38;G:0.06,0.14,-0.01"
2024-06-17 19:04:33.930,"A:0.35,1.29,9.38;G:0.06,0.14,-0.01"
2024-06-17 19:04:34.005,"A:0.31,1.26,9.38;G:0.06,0.15,-0.01"
2024-06-17 19:04:34.157,"A:0.27,1.26,9.30;G:0.06,0.15,-0.01"
2024-06-17 19:04:34.305,"A:0.27,1.26,9.30;G:0.06,0.15,-0.01"
2024-06-17 19:04:34.456,"A:0.31,1.29,9.41;G:0.05,-4.03,-0.02"
2024-06-17 19:04:34.530,"A:0.31,1.26,9.41;G:0.06,0.15,-0.01"
2024-06-17 19:04:34.755,"A:0.31,1.29,9.34;G:-1.53,0.15,-0.00"
2024-06-17 19:04:34.830,"A:0.31,1.29,9.34;G:1.66,-4.04,-0.01"
2024-06-17 19:04:34.905,"A:0.31,1.26,9.38;G:0.06,4.34,-0.02"
2024-06-17 19:04:35.055,"A:0.35,1.29,9.38;G:1.65,4.34,-0.02"
2024-06-17 19:04:35.205,"A:0.27,1.29,9.38;G:-3.14,-4.06,-0.01"
2024-06-17 19:04:35.354,"A:0.31,1.33,9.41;G:1.65,0.14,-0.01"
2024-06-17 19:04:35.430,"A:0.35,1.26,9.38;G:0.06,0.15,-0.01"
2024-06-17 19:04:35.655,"A:0.35,1.29,9.41;G:0.06,0.15,-0.01"
2024-06-17 19:04:35.730,"A:0.35,1.29,9.41;G:0.05,0.15,-0.01"
2024-06-17 19:04:35.881,"A:0.31,1.29,9.41;G:0.05,0.15,-0.01"
2024-06-17 19:04:36.030,"A:0.35,1.29,9.41;G:0.06,0.14,-0.01"
2024-06-17 19:04:36.106,"A:0.35,1.29,9.41;G:0.06,0.14,-0.01"
2024-06-17 19:04:36.255,"A:0.31,1.29,9.41;G:1.67,4.36,-0.01"
2024-06-17 19:04:36.330,"A:0.31,1.26,9.34;G:-1.55,-4.07,-0.01"
2024-06-17 19:04:36.480,"A:0.31,1.29,9.41;G:0.05,0.15,-0.02"
2024-06-17 19:04:36.631,"A:0.31,1.29,9.41;G:0.05,0.15,-0.02"
2024-06-17 19:04:36.782,"A:0.39,1.29,9.41;G:1.67,0.14,-0.02"
2024-06-17 19:04:36.857,"A:0.31,1.29,9.45;G:-1.55,0.14,-0.01"
2024-06-17 19:04:37.005,"A:0.31,1.29,9.38;G:1.67,0.15,-0.02"
2024-06-17 19:04:37.155,"A:0.31,1.29,9.38;G:-1.56,0.15,-0.01"
2024-06-17 19:04:37.306,"A:0.31,1.26,9.41;G:0.06,0.15,-0.01"
2024-06-17 19:04:37.380,"A:0.35,1.29,9.41;G:0.06,0.15,-0.01"
2024-06-17 19:04:37.530,"A:0.35,1.29,9.45;G:0.05,0.14,-0.01"
2024-06-17 19:04:37.680,"A:0.27,1.33,9.38;G:0.06,0.13,-0.01"
2024-06-17 19:04:37.755,"A:0.31,1.26,9.41;G:0.06,0.14,-0.02"
2024-06-17 19:04:37.905,"A:0.31,1.33,9.41;G:0.05,0.15,-0.01"
2024-06-17 19:04:38.055,"A:0.31,1.33,9.41;G:0.05,0.15,-0.01"
2024-06-17 19:04:38.205,"A:0.31,1.29,9.38;G:0.06,0.15,-0.01"
2024-06-17 19:04:38.280,"A:0.35,1.33,9.45;G:0.06,0.14,-0.01"
2024-06-17 19:04:38.431,"A:0.35,1.29,9.38;G:0.06,4.40,-0.02"
2024-06-17 19:04:39.105,"T:25.69,25.17"
2024-06-17 19:04:39.179,"A:0.31,1.37,9.41;G:0.05,-4.12,-0.02"
2024-06-17 19:04:39.330,"A:0.35,1.26,9.41;G:1.68,0.15,-0.01"
2024-06-17 19:04:39.480,"A:0.35,1.26,9.41;G:-1.57,0.16,-0.02"
2024-06-17 19:04:39.630,"A:0.35,1.26,9.38;G:0.06,0.15,-0.01"
2024-06-17 19:04:39.707,"A:0.31,1.29,9.41;G:0.06,0.15,-0.02"
2024-06-17 19:04:39.855,"A:0.31,1.29,9.38;G:0.06,0.14,-0.01"
2024-06-17 19:04:40.005,"A:0.31,1.29,9.38;G:0.05,0.13,-0.01"
